ECF_Area,Subdivision,Ave_ECF
AAS,ANN ARBOR M & B,1.383
AAS,ANN ARBOR M & B,1.368
AAS,ANN ARBOR M & B,1.534
AAS,ANN ARBOR M & B,0.934
AR-1,ARBOR RIDGE,1.323
AR-2,ARBOR WOODLANDS,0.878
AR-4,ARBOR RIDGE MEADOWS,0.802
ARC,ARBOR CREEK,1.156
ARF,ARBOR FARMS,0.875
ARH,ARBOR HEIGHTS,1.636
AROAKS,ARBOR OAKS,0.920
AROAKS,ARBOR OAKS,0.884
ARW,ARBOR WOODS,0.940
BHP,BLUE HERON POINTE,1.240
BHP,BLUE HERON POINTE,1.495
BOR,S,1.502
BRB,BRIAR HILL & BURNHAM WOODS,0.941
BRDG,BEMIS RIDGE ESTATES,0.792
BRDG,BEMIS RIDGE ESTATES,0.841
BRE,BRIDGEFIELD ESTATES,1.060
BVH,BROOKVIEW HIGHLANDS,0.834
CEF,CENTENNIAL FARMS,0.827
CEP,CENTENNIAL PARK,0.860
CRC,CRYSTAL CREEK,0.969
FOG,FOX GLEN,1.034
GPT,GALLERY POINT,0.989
HAF,HARDWOOD FARMS,0.866
HAR,HAWTHORNE RIDGE,1.111
HEG,HETHRS-FRWYS-WOODS-DORAL-TWINCROOK,0.967
HER,HEATHERWOOD-FOX PT,1.243
HIG,HICKORY GROVE,1.075
HIH,HICKORY HOLLOW,0.978
HIP,HICKORY POINTE,0.867
HIR,HIDDEN CREEK,1.283
HUT,HUNTERS RIDGE-TAMARACK-HUNTERS POND,1.039
IPE,INGLEWOOD PARK ESTATES,0.716
IPV,VILLAS AT INGLEWOOD PARK,0.910
IWT,TOWNES AT INGLEWOOD WEST,0.871
IWV,VILLAS AT INGLEWOOD WEST,0.874
KIH,KIRTLAND HILLS,0.987
LAF,LAKE FOREST,0.999
LAH,LAKE FOREST HIGHLANDS,1.170
LAP,LAKE FOREST PINES,0.804
LEG,LEGACY HEIGHTS,0.946
LOV,LOHR LAKE VILLAGE,0.971
LWD,LOHR WOODS,0.867
MAH,MAPLE CREEK-HORIZONS,1.026
MEC,MEADOWVIEW-CLUSTERS-SUB,1.335
MEC,MEADOWVIEW-CLUSTERS-SUB,1.438
MON,MONARCH ESTATES,0.885
MSD,MILAN SCHOOL DISTRICT,1.544
MSD,MILAN SCHOOL DISTRICT,1.123
MSD,MILAN SCHOOL DISTRICT,1.096
MSD,MILAN SCHOOL DISTRICT,0.973
OAH,OAK HILLS,1.610
OAM,OAK MEADOWS-MEADOW GROVE,1.180
OAP,OAK PARK & WASHINGTON GARDENS,1.839
OAP,OAK PARK & WASHINGTON GARDENS,1.733
PIGE,PITTSFIELD GLEN ESTATES,0.669
PIGV,PITTSFIELD GLEN VILLAS,0.838
ROH,ROLLING HILL ESTATES,0.825
ROM,ROLLING MEADOW,1.288
ROM,ROLLING MEADOW,0.978
ROM,ROLLING MEADOW,1.143
SAN,SAND CREEK,0.720
SIL,SILO RIDGE,1.564
SIR,SILVERLEAF & VILLAGE,0.852
SSD,SALINE M & B,1.490
SSD,SALINE M & B,1.229
STE,STONEBRIDGE ESTATES,0.958
STH,STONEBRIDGE HIGHPOINTE,0.925
STL,STONEBRIDGE LINKS,0.965
STO,STONEBRIDGE OAK,1.346
STP,STONEBRIDGE PONDS,1.198
TD,EW - THISTLE DOWN FARMS EAST-WEST,0.718
TOG,TOWNES ON THE GREEN,1.369
UNF,UNIVERSITY PALISADES,1.016
VAR,VALLEY RANCH,0.941
WAR,WARNER CREEK,1.412
WAR,WARNER CREEK,1.291
WAS,WASHTENAW CLUBVIEW-FARMVIEW,1.505
WAS,WASHTENAW CLUBVIEW-FARMVIEW,1.660
WAS,WASHTENAW CLUBVIEW-FARMVIEW,1.252
WAT,WASHTENAW HTS & TOWNLINE,1.828
WAW,WATERWAYS,0.932
WEA,WEATHERSTONE,1.319
WEG,WELLESLEY GARDENS,0.845
WOM,WOODSIDE MEADOWS,1.120
