Area_Code,Subdivision,Adjust_Factor
AISLD,ANN ARBOR ISLAND PARCELS,2.2770
AR-2,ARBOR RIDGE WOODLANDS,1.0796
AR-3,ARBOR RIDGE CROSSINGS,1.0573
AR-4,ARBOR RIDGE MEADOWS,1.0648
ARC,ARBOR CREEK,1.1078
ARF,ARBOR FARMS,1.0682
ARH,ARBOR HEIGHTS,1.2495
AROAK,ARBOR OAKS,2.4299
ARW,ARBOR WOODS,1.1215
ASH,ASHFORD VILLAGE,1.0406
BHP,BLUE HERON POINTE,1.1098
BOR,BOULDER RIDGE,1.0321
BRB3,DEERGLEN/REGINA NO CHANGE DUE TO LACK OF SALES,1.1222
BRDG,BEMIS RIDGE ESTATES,2.3756
BRE,BRIDGEFIELD ESTATES,1.2314
BVE,BELLA VISTA ESTATES,1.0598
BVH,BROOKVIEW HIGHLANDS,1.2166
BVV,BELLA VISTA VILLAS,1.2428
CEF,CENTENNIAL FARMS,1.0191
CEP,CENTENNIAL PARK,1.1911
COC,COUNTRY CREEK ESTATES,1.0092
CRC,CRYSTAL CREEK,0.9562
FOG,FOX GLEN,1.1397
FOG,FOX GLEN,2.5730
HAF,HARWOOD FARMS,1.1789
HAR,HAWTHORNE RIDGE,1.0229
HEF,HERITAGE FALLS,1.0727
HEG,FAIRWAYS/FWY-WDS/DORAL/TWIN,1.0429
HER,HEATHERWOOD/FOX POINTE,1.1088
HIG,HICKORY GROVE,1.0234
HIH,HICKORY HOLLOW,1.1982
HIP,HICKORY POINTE,1.0737
HIR,HIDDEN CREEK,1.1808
HUT,HUNTERS RIDGE/HUNTERS POND,1.0948
IPE,INGLEWOOD PARK ESTATES,0.9666
IPV,INGLEWOOD PARK VILLAS,1.2809
KIH,KIRTLAND HILLS,1.0752
KIH,KIRTLAND HILLS,1.1807
LAH,HIGHLANDS OF LAKE FOREST,1.1305
LAP,PINES OF LAKE FOREST,1.1410
LAP,PINES OF LAKE FOREST,1.2036
LAP,PINES OF LAKE FOREST,1.3094
LAP,PINES OF LAKE FOREST,1.0362
MAD,MADISON PLACE,1.0870
MAD,MADISON PLACE,1.1033
MAL,MALLARD COVE,1.0377
MCC,MCCORMICK,1.1377
MEC,MEADOWVIEW SUB,1.1485
MEC,MEADOWVIEW SUB,1.0237
MON,MONARCH ESTATES,3.0084
OAH,OAK HILL,1.0306
OAH,OAK HILL,1.1646
OAP,OAK PARK & WASHTENAW GARDENS,1.1223
PIGE,PITTSFIELD GLEN ESTATES,1.4281
PIGV,PITTSFIELD GLEN VILLAS,1.1198
REG,REGENTS PARK,1.0223
ROH,ROLLING HILLS ESTATES,0.9551
ROM,ROLLING MEADOWS,1.0897
ROV,ROSEWOOD VILLAGE,1.1470
SAN,SAND CREEK,1.2353
SHA,SHA ESTATES,1.0000
SIL,SILO RIDGE,1.1215
SIR,SILVERLEAF,1.0691
SIV,SILVERLEAF VILLAGE,1.3125
STE,ESTATES AT STONEBRIDGE,1.0938
STH,HIGHPOINTE AT STONEBRIDGE,1.1000
STH,HIGHPOINTE AT STONEBRIDGE,1.0245
STH,HIGHPOINTE AT STONEBRIDGE,1.0000
STH,HIGHPOINTE AT STONEBRIDGE,1.0003
TAM,TAMARACK,1.0500
TAM,TAMARACK,1.1275
UNF,UNIVERSITY PALISADES,1.1594
VAR,VALLEY RANCH,1.0481
WAR,WARNER CREEK,1.0970
WAS,WASHTENAW CLUBVIEW/FAIMVIEW,1.0991
WAT,WASHTENAW HEIGHTS & TOWNLINE,1.0112
WAW,WATERWAYS,1.1003
WEA,WEATHERSTONE,1.0985
WEG,WELLESLEY GARDENS,1.0581
WIP,WILLOW POND,1.0124
WOM,WOODSIDE MEADOWS,1.0948
