ECF_Area,Subdivision,Ave_ECF
AAS,ANN ARBOR M & B,1.368
AAS,ANN ARBOR M & B,1.306
AAS,ANN ARBOR M & B,1.658
AAS,ANN ARBOR M & B,0.999
AR-1,ARBOR RIDGE,1.258
AR-2,ARBOR WOODLANDS,0.868
AR-3,ARBOR RIDGE CROSSINGS,0.785
AR-3,ARBOR RIDGE CROSSINGS,0.810
AR-4,ARBOR RIDGE MEADOWS,0.790
ARC,ARBOR CREEK,1.136
ARF,ARBOR FARMS,0.851
ARH,ARBOR HEIGHTS,1.591
ARH,ARBOR HEIGHTS,0.920
ARH,ARBOR HEIGHTS,0.883
ARW,ARBOR WOODS,0.932
ASH,ASHFORD VILLAGE,0.948
ASH,ASHFORD VILLAGE,0.883
BHP,BLUE HERON POINTE,1.204
BHP,BLUE HERON POINTE,1.468
BRB,BRIAR HILL & BURNHAM WOODS,0.930
BRDG,BEMIS RIDGE ESTATES,0.858
BRDG,BEMIS RIDGE ESTATES,0.792
BRE,BRIDGEFIELD ESTATES,1.049
BVH,BROOKVIEW HIGHLANDS,0.828
CEF,CENTENNIAL FARMS,0.831
CEF,CENTENNIAL FARMS,0.780
CEP,CENTENNIAL PARK,0.862
COC,COUNTRY CREEK ESTATES,0.900
CRC,CRYSTAL CREEK,0.950
FOG,FOX GLEN,1.057
GPT,GALLERY POINT,1.022
HAF,HARDWOOD FARMS,0.909
HAR,HAWTHORNE RIDGE,1.111
HEF,HERITAGE FALLS,0.742
HEG,HETHRS-FRWYS-WOODS-DORAL-TWINCROO,0.961
HER,HEATHERWOOD-FOX PT,1.224
HIG,HICKORY GROVE,1.032
HIH,HICKORY HOLLOW,1.014
HIP,HICKORY POINTE,0.878
HIR,HIDDEN CREEK,1.221
HUT,HUNTERS RIDGE-TAMARACK-HUNTERS POND,1.043
IPE,INGLEWOOD PARK ESTATES,0.705
IPV,VILLAS AT INGLEWOOD PARK,0.940
KIH,KIRTLAND HILLS,0.949
LAF,LAKE FOREST,0.992
LAH,LAKE FOREST HIGHLANDS,1.184
LAP,LAKE FOREST PINES,0.791
LEG,LEGACY HEIGHTS,0.934
LOV,LOHR LAKE VILLAGE,0.933
LWD,LOHR WOODS,0.825
MAD,MADISON PLACE,1.099
MAH,MAPLE CREEK-HORIZONS,1.017
MCC,MCCORMICK PLACE SUB,1.049
MEC,MEADOWVIEW-CLUSTERS-SUB,1.269
MEC,MEADOWVIEW-CLUSTERS-SUB,1.476
MON,MONARCH ESTATES,0.875
MSD,MILAN SCHOOL DISTRICT,1.309
MSD,MILAN SCHOOL DISTRICT,1.397
MSD,MILAN SCHOOL DISTRICT,1.346
MSD,MILAN SCHOOL DISTRICT,1.196
MSD,MILAN SCHOOL DISTRICT,1.230
OAH,OAK HILLS,1.632
OAM,OAK MEADOWS-MEADOW GROVE,1.150
OAP,OAK PARK & WASHINGTON GARDENS,1.901
PIGE,PITTSFIELD GLEN ESTATES,0.675
PIGV,PITTSFIELD GLEN VILLAS,0.814
ROH,ROLLING HILL ESTATES,0.809
ROM,ROLLING MEADOW,1.313
ROM,ROLLING MEADOW,0.968
ROM,ROLLING MEADOW,1.133
SAN,SAND CREEK,0.744
SHA,SHA ESTATES,0.875
SIL,SILO RIDGE,1.575
SIL,SILO RIDGE,1.221
SIR,SILVERLEAF & VILLAGE,0.818
SSD,SALINE M & B,1.703
SSD,SALINE M & B,1.266
SSD,SALINE M & B,1.053
STE,STONEBRIDGE ESTATES,0.933
STH,STONEBRIDGE HIGHPOINTE,0.891
STL,STONEBRIDGE LINKS,0.927
STO,STONEBRIDGE OAK,1.410
STP,STONEBRIDGE PONDS,1.327
TD,EW - THISTLE DOWN FARMS EAST-WEST,0.712
UNF,UNIVERSITY PALISADES,0.974
VAR,VALLEY RANCH,0.936
WAR,WARNER CREEK,1.361
WAR,WARNER CREEK,1.185
WAS,WASHTENAW CLUBVIEW-FARMVIEW,1.648
WAS,WASHTENAW CLUBVIEW-FARMVIEW,1.514
WAS,WASHTENAW CLUBVIEW-FARMVIEW,1.369
WAS,WASHTENAW CLUBVIEW-FARMVIEW,1.181
WAT,WASHTENAW HTS & TOWNLINE,1.944
WAT,WASHTENAW HTS & TOWNLINE,1.578
WAT,WASHTENAW HTS & TOWNLINE,1.278
WAW,WATERWAYS,0.921
WEA,WEATHERSTONE,1.290
WEG,WELLESLEY GARDENS,0.846
WOM,WOODSIDE MEADOWS,1.085
